,asin,description,imUrl,price,title
0,B000S5Q9CA,,http://ecx.images-amazon.com/images/I/41noIKEcGGL._SY300_.jpg,8.95,Motorola Vehicle Power Adapter micro-USB Rapid Rate Charger
1,B0015RB39O,"Use this High Quality Delton Platinum USB 30-Pin Data Cable to charge and sync your iPhone or iPod with your Mac or Windows PC. Includes a One Year Limited Warranty. Specs: Length - 3 foot 4 Inches, 101.6 cm. Color - White. Compatible with iPhone 3G, 3Gs, 4, 4S iPod Touch 3rd, 4th Gen, Nano 4th, 5th and 6th Generation. Data Transfer - Applications, Apps, Ringtones, Pictures, Images, Wallpaper, Graphics, Games, Themes and more!",http://ecx.images-amazon.com/images/I/317rWpINtQL._SY300_.jpg,7.95,Delton Platinum USB 30-Pin Data Cable for iPhone 3GS/4/4S and iPod
2,B0042FV2SI,Protect your iPhone 4 / 4S screen with anti-glare screen protector. Our screen protector feature full front protection for iPhone 4 / 4S screen. Protect your iPhone 4 screen with HHI screen protectors today.,http://ecx.images-amazon.com/images/I/41SOO6U2ofL._SY300_.jpg,0.5,"iPhone 4 / 4S Anti-Glare, Anti-Scratch, Anti-Fingerprint - Matte Finishing Screen Protector"
3,B0052YFYFK,,http://ecx.images-amazon.com/images/I/41JnHbj9SmL._SY300_.jpg,105.97,LG Tone Wireless Bluetooth Stereo Headset - Retail Packaging - Black/Orange
4,B005AOKW8Q,SANOXY stylus set has built in soft head for protecting your screen and increase the sensitivity,http://ecx.images-amazon.com/images/I/41tTdYFPSCL._SX300_.jpg,0.64,"5 Pcs Stylus Set Aqua Blue/Black/Red/Pink/Purple Stylus/styli Touch Screen Cellphone Tablet Pen for iPhone 4G 3G 3GS iPod Touch iPad 2 3 SONY PLAYSTATION PSP PS VITA Motorola Xoom, Samsung Galaxy, BlackBerry Playbook AMM0101US, Barnes and Noble Nook Color, Droid Bionic"
5,B005IMB5NG,,http://ecx.images-amazon.com/images/I/41aKGFrsigL._SY300_.jpg,33.14,Plantronics M50 - Bluetooth Headset - Retail Packaging - Black
6,B005LKB0IU,"The Kinivo BTH220 Stereo Headset delivers style, performance, and remarkable sound with most stereo-capable Bluetooth devices. This lightweight headset lets you makeHands-Free CallsandWirelessly Listen to Musicso you'll stay tuned-in!Easy-to-Use ControlsBTH220 allows you to adjust volume, accept calls, and switch music tracks right from the headphones. A large call button on the side of the right speaker makes it simple to accept and make calls. By tapping on either side of this button, you can also change music tracks and adjust volume.Key Features- Portability:Lighweight (71g), foldable design provides maximum portability & convenient storage- Rechargeable:Integrated rechargeable lithium-ion battery provides up to 8 hours of uninterrupted talk/ music time or 150 hours in the stand-by mode- Hands-Free calling:BTH220 has an inbuilt Microphone. Music will automatically pause when you receive an incoming call- Built for Maximum Comfort:Behind-the-head wearing style.Curved design and over-the-ear headphones are cushioned to provide ample comfortDevice Compatibility- iPad3, iPad2, iPad- iPhone 5, 4S, 4, 3GS, 3G, Ipod Touch 4G, 3G- Android smartphones - HTC, All Droids, Samsung- Blackberry smartphones- PS3(Supports only chat audio)What's in the Box- Kinivo BTH220 Bluetooth Stereo Headphone- User Manual- USB Charging Cable- Carrying PouchWarrantyBTH220 is backed by 1 year warranty. Please contact us via email if you have any questions.",http://ecx.images-amazon.com/images/I/41M-QmJgQ1L._SX300_.jpg,21.99,Kinivo BTH220 Bluetooth Stereo Headphone - Supports Wireless Music Streaming and Hands-Free calling
7,B005SUHPO6,,http://ecx.images-amazon.com/images/I/41pBdxcauOL._SY300_.jpg,49.99,Otterbox Defender Series Hybrid Case &amp; Holster for iPhone 4 &amp; 4S  - Retail Packaging - Sun Yellow/Gunmetal Grey
8,B005SUHRVC,,http://ecx.images-amazon.com/images/I/41gaGcrpYfL._SY300_.jpg,32.99,OtterBox Commuter Series Case for iPhone 4/4S  - Retail Packaging - Hot Pink/White
9,B005WUH9X4,,http://ecx.images-amazon.com/images/I/41Yl4G3J4EL._SY300_.jpg,74.99,LifeProof Case for iPhone 4/4S - Retail Packaging - Purple
10,B005X1Y7I2,"A charging station for the palm or your hand.PowerIQ&#x2122;: Compatibility maximized.Not all charging ports are created equal. Standard ports only communicate effectively with particular devices, like Apple OR Android, often limiting their recharge rate. But with PowerIQ&#x2122; technology, each port intelligently identifies your device to speak its unique charging language. So plug in any brand or model and enjoy compatibility that doesn't limit your charging speed.A shot to your phone.When all you need is a boost the Astro Mini's got you covered. It holds enough juice to get you back into action without weighing you down. Add over a full charge to an iPhone, almost a full charge to your S5 or a full charge to most other phones.Primo construction.Each Astro Mini is built with dependability in mind. Premium chips, Samsung Grade A cells and a rugged aluminum shell ensure the highest possible performance and safety. Whether you're in the car, at a party or out on the trail, know you've got a battery that won't let you down.For optimal use.&#x2022; To start a charge, first press the power button.&#x2022; Compatible with all Apple and Android smartphones, tablets (including the Nexus 7) and other USB-charged devices. The iPod nano, Asus tablets, the LG G2 and some GPS and Bluetooth devices are not supported.&#x2022; To ensure complete safety and best performance, we strongly recommend using your device's original cable, a third-party certified cable (such as MFI) or our included cable.&#x2022; The included Micro USB cable is compatible with the Samsung Galaxy S5, Note 3 and other Micro USB 3.0 devices. To connect, insert the cable's Micro USB tip into the larger of the two connection ports on your device.",http://ecx.images-amazon.com/images/I/41pER3EL-sL._SY300_.jpg,19.99,"Anker&reg; Astro Mini 3000mAh Ultra-Compact Portable Charger Lipstick-Sized External Battery Power Bank with PowerIQ&trade; Technology for iPhone 5S, 5C, 5, 4S, Galaxy S5, S4, S3, Note 3, Nexus 4, HTC One, One 2 (M8), Nokia Lumia 520, 1020, most other Smartphones  - Black"
11,B0085JRQFU,HTML Generator Sample Page&nbsp;,http://ecx.images-amazon.com/images/I/311nnIr8LuL._SY300_.jpg,19.94,OtterBox Commuter Series Case for Samsung Galaxy S III - Retail Packaging - White
